"","pgID","interpChr","interpOrd","og","repGene","genome","chr","start","end","hap1","salicifolius","hap2","region"
"141",540,"X",433,14597,"NChap1_final_00000433","hap1","X",5804134,5805212,"NChap1_final_00000433","R_salicifolius_00022283","NChap2_final_00025079","PAR1"
"142",541,"X",434,14595,"NChap1_final_00000434","hap1","X",5806926,5811149,"NChap1_final_00000434","R_salicifolius_00022284","NChap2_final_00025078","PAR1"
"143",542,"X",435,14598,"NChap1_final_00000435","hap1","X",5811684,5814260,"NChap1_final_00000435","R_salicifolius_00022285","NChap2_final_00025077","PAR1"
"144",544,"X",436,14596,"NChap1_final_00000436","hap1","X",5838137,5841067,"NChap1_final_00000436","R_salicifolius_00022287","NChap2_final_00025076","PAR1"
"145",548,"X",439,12159,"NChap1_final_00000439","hap1","X",5900017,5901715,"NChap1_final_00000439","R_salicifolius_00022291","NChap2_final_00025074","PAR1"
"146",553,"X",444,14456,"NChap1_final_00000444","hap1","X",5995989,5997626,"NChap1_final_00000444","R_salicifolius_00022293","NChap2_final_00025071","PAR1"
"147",554,"X",445,14446,"NChap1_final_00000445","hap1","X",6004709,6008276,"NChap1_final_00000445","R_salicifolius_00022294","NChap2_final_00025070","PAR1"
"148",555,"X",446,14447,"NChap1_final_00000446","hap1","X",6008808,6011561,"NChap1_final_00000446","R_salicifolius_00022295","NChap2_final_00025069","PAR1"
"149",569,"X",457,15535,"NChap1_final_00000457","hap1","X",6291568,6293555,"NChap1_final_00000457","R_salicifolius_00022302","NChap2_final_00025062","PAR1"
"150",573,"X",460,15514,"NChap1_final_00000460","hap1","X",6313964,6317229,"NChap1_final_00000460","R_salicifolius_00022303","NChap2_final_00025060","PAR1"
"151",575,"X",462,15546,"NChap1_final_00000462","hap1","X",6319557,6321487,"NChap1_final_00000462","R_salicifolius_00022305","NChap2_final_00025059","PAR1"
"152",576,"X",463,15527,"NChap1_final_00000463","hap1","X",6322921,6325639,"NChap1_final_00000463","R_salicifolius_00022306","NChap2_final_00025058","PAR1"
"153",578,"X",466,15558,"NChap1_final_00000466","hap1","X",6352407,6354731,"NChap1_final_00000466","R_salicifolius_00022307","NChap2_final_00025056","PAR1"
"154",579,"X",467,15532,"NChap1_final_00000467","hap1","X",6358270,6360801,"NChap1_final_00000467","R_salicifolius_00022308","NChap2_final_00025055","PAR1"
"155",580,"X",468,15560,"NChap1_final_00000468","hap1","X",6359080,6365943,"NChap1_final_00000468","R_salicifolius_00022309","NChap2_final_00025054","PAR1"
"156",581,"X",469,15566,"NChap1_final_00000469","hap1","X",6367625,6374385,"NChap1_final_00000469","R_salicifolius_00022310","NChap2_final_00025053","PAR1"
"157",583,"X",470,14461,"NChap1_final_00000470","hap1","X",6385971,6390909,"NChap1_final_00000470","R_salicifolius_00022311","NChap2_final_00025051","PAR1"
"158",584,"X",471,14462,"NChap1_final_00000471","hap1","X",6411273,6416088,"NChap1_final_00000471","R_salicifolius_00022312","NChap2_final_00025050","PAR1"
"159",586,"X",474,14479,"NChap1_final_00000474","hap1","X",6438967,6453310,"NChap1_final_00000474","R_salicifolius_00022314","NChap2_final_00025048","PAR1"
"160",589,"X",477,14468,"NChap1_final_00000477","hap1","X",6474561,6478778,"NChap1_final_00000477","R_salicifolius_00022315","NChap2_final_00025047","PAR1"
"161",590,"X",478,14469,"NChap1_final_00000478","hap1","X",6482704,6484334,"NChap1_final_00000478","R_salicifolius_00022316","NChap2_final_00025046","PAR1"
"162",594,"X",480,14549,"NChap1_final_00000480","hap1","X",6518473,6522050,"NChap1_final_00000480","R_salicifolius_00022319","NChap2_final_00025044","PAR1"
"163",595,"X",481,14555,"NChap1_final_00000481","hap1","X",6520823,6525912,"NChap1_final_00000481","R_salicifolius_00022320","NChap2_final_00025043","PAR1"
"164",609,"X",495,15111,"NChap1_final_00000495","hap1","X",6676491,6685715,"NChap1_final_00000495","R_salicifolius_00022323","NChap2_final_00025034","PAR1"
"165",610,"X",496,15118,"NChap1_final_00000496","hap1","X",6687908,6690994,"NChap1_final_00000496","R_salicifolius_00022324","NChap2_final_00025033","PAR1"
"166",612,"X",498,15074,"NChap1_final_00000498","hap1","X",6702697,6707445,"NChap1_final_00000498","R_salicifolius_00022325","NChap2_final_00025031","PAR1"
"167",613,"X",499,15081,"NChap1_final_00000499","hap1","X",6712706,6714062,"NChap1_final_00000499","R_salicifolius_00022326","NChap2_final_00025030","PAR1"
"168",618,"X",503,15094,"NChap1_final_00000503","hap1","X",6742569,6746245,"NChap1_final_00000503","R_salicifolius_00022328","NChap2_final_00025028","PAR1"
"169",619,"X",504,15101,"NChap1_final_00000504","hap1","X",6747177,6748231,"NChap1_final_00000504","R_salicifolius_00022329","NChap2_final_00025027","PAR1"
"170",624,"X",509,14539,"NChap1_final_00000509","hap1","X",6867788,6874399,"NChap1_final_00000509","R_salicifolius_00023085","NChap2_final_00025024","PAR1"
"171",630,"X",513,14702,"NChap1_final_00000513","hap1","X",6929521,6936106,"NChap1_final_00000513","R_salicifolius_00023088","NChap2_final_00025022","PAR1"
"172",638,"X",519,14695,"NChap1_final_00000519","hap1","X",7040358,7045827,"NChap1_final_00000519","R_salicifolius_00023089","NChap2_final_00025016","PAR1"
"173",642,"X",524,14441,"NChap1_final_00000524","hap1","X",7147772,7153366,"NChap1_final_00000524","R_salicifolius_00023084","NChap2_final_00025014","PAR1"
"174",647,"X",525,14443,"NChap1_final_00000525","hap1","X",7176642,7179007,"NChap1_final_00000525","R_salicifolius_00023080","NChap2_final_00025012","PAR1"
